Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
McGill Curl-Up,hecho,Núcleo,Peso corporal,Ninguno,Recto abdominal Flexores de la cadera,Hip Flexors,Sagital,"Levanta ligeramente la parte posterior de los hombros del suelo, mientras tensas principalmente el",https://www.youtube.com/watch?v=A66JQaQTFFA
McGill Curl-Up,hecho,Núcleo,Peso corporal,Ninguno,"Recto abdominal Flexores de la cadera Sagital con el talón apoyado. Para iniciar el movimiento, flexiona la columna y https://www.youtube.com/watch?v=A66JQaQTFFA levanta ligeramente la parte posterior de los hombros del suelo, mientras tensas principalmente el El Medicine Ball Clean comienza en una posición de media sentadilla y bisagra, con las rodillas dobladas generosamente, caderas hacia atrás y el torso inclinado hacia adelante Cuádriceps","Glúteos, Isquiotibiales, Gemelos, Erectores espinales, Recto con la espalda recta, manos debajo de los hombros sujetando los lados de una Medicine Ball Clean re-grabar Flexión Carga externa Balón medicinal",Sagital,"Trapecio, Bíceps Abdominales balón medicinal en el suelo, entre los pies. Para iniciar el movimiento, empuja con los talones y extiende las caderas hacia adelante mientras tiras del",https://www.youtube.com/watch?v=hh4OuvESwSo
Medicine Ball Front Squat,hecho,Sentadilla,Carga externa,Balón medicinal,"Quadriceps, Glutes, Rectus Abdominis","Triceps, Biceps, Hamstrings, Erector Spinae",Sagital,"Abdominales Erectores espinales apilados verticalmente debajo de los antebrazos y muñecas. Para iniciar el movimiento, flexiona las rodillas hacia adelante",https://www.youtube.com/watch?v=xweAYObpwDk
Medicine Ball Good Morning,hecho,,Carga externa,Pelota,"médica Glúteos, Isquiotibiales, Erector Spinae","Deltoides anteriores, escapulas, Bíceps",Sagital,"Las caderas hacia atrás, con una ligera flexión de rodillas y el torso superior inclinado",https://www.youtube.com/watch?v=kFJhWWYPmtc
Para entrar en Curl de isquiotibiales con pelota médica,hecho,Jalar,Carga externa,Pelota,"médica Glúteos, Isquiotibiales, Erector Spinae, Cuádriceps, Recto Abdominis",,Sagital,"Tras la espalda y los glúteos alejados del piso. Para iniciar el movimiento, haz curl",https://www.youtube.com/watch?v=lS1ppiTzI
Push-up con pelota médica,hecho,Empujar,Peso corporal,Pelota,"médica Glúteos, Escápulas, Cuádriceps","Glutes, Scapulas, Quadriceps",Sagital,"Recto Abdominis dobla los codos y baja el pecho hacia la pelota médica,",https://www.youtube.com/watch?v=qZ1L0jhSHRc
Zancada inversa con pelota médica,hecho,Una pierna,Carga externa,Pelota,"médica Deltoides anteriores, Bíceps","Anterior Deltoids, Biceps",Sagital,"Recto Abdominis dobla ambas rodillas, permitiendo que la rodilla trasera haga contacto con el",https://www.youtube.com/watch?v=WgD6ATXH2eQ
Anterior Slam con pelota médica,re-film,Núcleo,Carga externa,Pelota,"médica Erector Spinae, Isquiotibiales, Gemelos","Erector Spinae, Hamstrings, Calves",Sagital,"Deltoides, Cuádriceps el cuerpo. Para iniciar el movimiento, eleva la pelota médica por encima de la cabeza,",https://www.youtube.com/watch?v=G01nrJGJEc4
Paso por Encima con Balón Medicinal,hecho,Una pierna,Carga externa,Balón medicinal,"Deltoides anteriores, bíceps","Anterior Deltoids, Biceps",Sagital,"Recto abdominal otro pie, manteniendo una ligera flexión en las rodillas mientras estás encima de la",https://www.youtube.com/watch?v=RhDmH9FkWT4
Paso al Cajón con Balón Medicinal,hecho,Una pierna,Carga externa,Balón medicinal,,,Sagital,"Recto abdominal Flexores inclínate hacia adelante, impulsa a través del talón y extiende la pierna para",https://www.youtube.com/watch?v=k-
Toque de Punta con Balón Medicinal,hecho,Core,Carga externa,Balón medicinal,Recto abdominal,,Sagital,"PkGleA Isquiotibiales, flexores de cadera los laterales del balón. Para iniciar el movimiento, flexiona a través de la",https://www.youtube.com/watch?v=cs
Sentadilla en Pared con Balón Medicinal,hecho,Sentadilla,Carga externa,Balón medicinal,"Isquiotibiales, pantorrillas","sHamstrings, Calves",Sagital,"Espinales, recto abdominal la pared, columna vertical y un balón medicinal colocado sobre los muslos. Mantén los brazos abajo",https://www.youtube.com/watch?v=gNF8Xdva-00
Mixed Rack Farmer Carry,hecho,Locomoción,Carga externa,Pesa rusa,"Quadriceps, Rectus Abdominis, Latissimus Dorsi, Glut","eAsnterior Deltoids, Trapezius, Biceps",Sagital,"Dorsal ancho, Glúteo Bíceps posición de rack, y la otra kettlebell colgando a un lado. Para",https://www.youtube.com/watch?v=svOylNvwo6Q
Monster Walk,re-film,Locomoción,Carga externa,Bandas,"Abductores, Glúteos, Cuádriceps Isquiotibiales",Hamstrings,Sagital,"Para iniciar el movimiento, da un paso hacia adelante y alterna",https://www.youtube.com/watch?v=lQ1UAB22L0s
Mountain Climber,re-film,Núcleo,Peso corporal,Ninguno,"Espina dorsal, Pectorales, Tríceps","Erector Spinae, Pecs, Triceps",Sagital,"Isquiotibiales, Deltoides anteriores luego alterna rápidamente un salto de cambio que acerca la pierna trasera hacia adelante y el pie delantero hacia atrás. Continúa en un patrón alterno, cambiando los pies q Ejercicio Estado Patrón Tipo Implementación Principal Músculos Principalmente Trabajados Músculos Secundarios Trabajados Plano Explicación del Ejercicio URL de YouTube Muscle-Up comienza sujetando las manos a los anillos de gimnasia y encontrar tu agarre falso y mantener las palmas mirándose. Para Latissimus Dorsi, Bíceps, Tríceps,Escápulas, Recto Abdominis, iniciar el movimiento, al igual que una dominada, comenzar a tirar de tu caja torácica hacia arriba Muscle-Up",https://www.youtube.com/watch?v=XowPTndWMlk
Muscle-Up,re-film,Jalar,Peso corporal,Anillos,,,Sagital,"Pectorales Glúteos hacia los anillos, manteniendo los codos cerca del cuerpo, y continuando el movimiento de dominada hasta que el pecho se mueva por delante de los anillos y el elb",https://www.youtube.com/watch?v=21mAbr
Curl nórdico de isquiotibiales,hecho,Doblar,Peso corporal,Banco,"nórdico Isquiotibiales, Glúteos, Erector Espinae","Quadriceps, Rectus Abdominis, Triceps, Anterior D",Sagital,"Tríceps, Anterior D la articulación de la rodilla, intentando mantener el cuerpo en una línea desde las rodillas",https://www.youtube.com/watch?v=zwPKWKpk0d4
Porteo Descentrado,hecho,Núcleo,Carga externa,Pesa rusa,"Tríceps, Cuádriceps, Glúteos",,Sagital,"LuE Recto Abdominis, Bíceps a lo largo del movimiento. Para iniciar el movimiento, camina de forma constante",https://www.youtube.com/watch?v=MCM5
Una sentadilla de una y un cuarto,hecho,Sentadilla,Peso corporal,Ninguno,"Cuádriceps, Glúteos Recto Abdominis,",Isquiotibiales,Sagital,Las rodillas hacia adelante y hacia afuera mientras hundes las caderas hacia atrás y hacia abajo,https://www.youtube.com/watch?v=ceswRXk4uQM
Una Sentadilla de Ciclista de una y un cuarto,hecho,Sentadilla,Peso corporal,Plato,"Cuádriceps, Glúteos Isquiotibiales, Recto Abdominis Sagital o un objeto similar, brazos extendidos hacia adelante frente a ti para contrapeso. Para iniciar el movimiento","flexiona las rodillas hacia adelante y desciende las caderas hacia atrás y abajo La Sentadilla con una cuadra y cuarto comienza en una posición erguida alta, con los pies separados a la anchura de las caderas o un poco más; con los dedos de los pies apuntando hacia afuera, y Cuádriceps, Glúteos, Anterior nBíceps, Erector de la columna, Sentadilla con una cuadra y cuarto con mancuerna hecha Sentadilla Carga externa Mancuerna Sagital una mancuerna en cada mano, sostenida en la posición de rack",Frontal,"Deltoides, Recto Abdominal Isquiotibiales hombros, agarre neutro. Para iniciar el movimiento, flexiona las rodillas",https://www.youtube.com/watch?v=EfaKXgIC3TY
Anterior Sentadilla con una cuadra y cuarto con copa,re-film,Sentadilla,Carga externa,Pesa rusa,"Cuádriceps, Glúteos","Hamstrings, Biceps, Anterior Deltoids",Sagital,"Deltoides de vuelta a la parte inferior de la sentadilla, y termina subiendo de nuevo a una",https://www.youtube.com/watch?v=A5emLMlaILY
Anterior Subida turca con pesa rusa de un cuarto,re-film,Núcleo,Carga externa,Pesa rusa,"Oblicuos, Tríceps Transverso pies planos en el suelo. Luego empujas desde el suelo con el","Obliques, Triceps",,"Deltoides, Transverso del Abdomen una mano desocupada mientras presionas a través de la pesa rusa con la otra",https://www.youtube.com/watch?v=-MB4UStTK98
Te desaceleras,re-film,Núcleo,Peso corporal,Barra de dominadas,"Recto Abdominal, Flexores de la cadera Dorsal ancho, Cuádriceps",,Sagital,"NsQMY pecho, y eleva la otra pierna a 90 grados, manteniendo la pierna estirada. Mantén la columna lo más vertical posible, desde el sacro hasta la coronilla",https://www.youtube.com/watch?v=BZfve
Sentadilla por encima de la cabeza,hecho,Sentadilla,Carga externa,Barra,"Quadriceps, Glutes, Trapezius, Anterior Deltoids, Medial Delt","oHidasm, Tstrriicnegpss, Erector Spinae, Rectus Abdominis",Sagital,"Deltoides anteriores, deltoides medios Espina dorsal, Recto abdominal separados y manos pronadas, de modo que las palmas miren hacia fuera de ti. Para iniciar el movimiento, contrae el tronco y luego flexiona las rodillas hacia adelante",https://www.youtube.com/watch?v=h1xZIRmFtV4
Zancada de caminata por encima de la cabeza,re-film,Una pierna,Carga externa,Barra,"Quadriceps, Glutes, Anterior Deltoids, Medial Deltoids, Tricep","sErector Spinae, Hip Flexors, Rectus Abdominis, Ha",Sagital,"Deltoides, Deltoides Medios, TrícepsRecto abdominal, Ha Mantén el tronco activo a lo largo del movimiento manteniendo un ligero abrazo de las costillas hacia las caderas y un ligero PPT (inclinación pélvica posterior). inclinación pélvica). T Painter comienza en una posición de plancha alta, con las manos debajo de las hombros, brazos rectos, hombros protraídos, tronco tenso manteniendo Recto abdominal, Anterior Cuádriceps, Glúteos, Transverso una PPT (inclinación pélvica posterior), piernas rectas, pies a la anchura de cadera. Para Painter",https://www.youtube.com/watch?v=L8AzeXTBjAg
Para Painter,re-film,Núcleo,Peso corporal,Ninguno,"Rectus Abdominis, Anterior Deltoids, Triceps, Pecs","Quadriceps, Glutes, Transverse Abdominis",Sagital,"Deltoides, Tríceps, Pectorales Abdomen/Abdominales iniciar el movimiento, extender un brazo directamente hacia delante, llevando el bíceps fuera de la oreja, manteniendo las caderas alineadas con el piso, luego colocar la mano ba",https://www.youtube.com/watch?v=cLvk1MRYCgE
Flexión en paralelas,hecho,Empujar,Peso corporal,Paralelas,"Glúteos, Cuádriceps",,Sagital,"CrjY Recto Abdominal juntos. Para iniciar el movimiento, dobla los codos hacia atrás y mantén",https://www.youtube.com/watch?v=CMlWH
Dominada asistida por compañero,hecho,Tirar,Peso corporal,Barra de dominadas,"Dorsal ancho, Bíceps Recto abdominal",Rectus Abdominis,Sagital,Paralelo al suelo. Luego tu compañero puede colocarse para ayudarte observándote,https://www.youtube.com/watch?v=G5yxVPrgBDk
Passive Hang,re-film,Jalar,Estabilidad,Barra de dominadas,"Dorsal ancho, bíceps, escápulas","cuádriceps, flexores de cadera",Sagital,Los brazos rectos. Mantén la cantidad de tiempo prescrita.,https://www.youtube.com/watch?v=NGndVbG1ofI
Levanta un pie de la superficie y Patrick Step Down,hecho,Una pierna,Estabilidad,Placa,"Cuádriceps, glúteos, tibial Isquiotibiales,",gastrocnemio,Sagital,"Movimiento, dobla la rodilla de la pierna que está de pie manteniendo el talón bajo, y suelta el talón flotante Ejercicio Estado Patrón Tipo Implementación principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=V-ssviWAkH0
Pause Back Squat,hecho,Sentadilla,Carga externa,Barra,"Cuádriceps, Glúteos, Isquiotibiales Rectus Dorsi Abdominis,",Latissimus,Sagital,"Alejarse de ti. Para iniciar el movimiento, contrae el core y luego dobla",https://www.youtube.com/watch?v=L-bwTGiPMkg
Pendlay Row,hecho,Jalar,Carga externa,Barra,"Latissimus Isquiotibiales, Dorsi, Erector Bíceps, Spinae, Glúteos Recto Abdominal,",Cuádriceps,Sagital,"Con la barra alineada sobre la parte superior de los pies, manos sujetando la barra un poco más anchas que el ancho de los hombros, pronación de las manos y brazos str Pistol comienza en una posición de pie alta, con un pie suspendido fuera del suelo y colocado ligeramente hacia adelante frente al cuerpo. Para iniciar Pistol refilm Una pierna Peso corporal Ninguno Cuádriceps, Glúteos, Isquiotibiales Gastrocnemio, Erector Spinae Sagital el espalda movimiento, hacia flexiona abajo, la rodilla bajando de la al pierna fondo de soporte de la sentadilla hacia adelante a y una hunde pierna, las caderas con",https://www.youtube.com/watch?v=3DMRYKFPw54
Pistol refilm,,Una pierna,Peso corporal,Ninguno,"Cuádriceps, Glúteos, Isquiotibiales Gastrocnemio, Erecto",r Spinae,Sagital,"Peso en el talón, brazos extendiéndose hacia adelante para contrapeso, y flotando le",https://www.youtube.com/watch?v=sCTHnqLXepk
Poliquin Step-Up,hecho,Una pierna,Peso corporal,Tabla,"inclinada Cuádriceps, Glúteos, Aductores Isquiotibiales",Hamstrings,Frontal,"Pies a aproximadamente la anchura de la cadera. Para iniciar el movimiento, flexiona en la",https://www.youtube.com/watch?v=TiY1Z2X9rNM
Power Clean,re-film,Explosividad,,Barra,"de pesas Erector Spinae, Glúteos, Bíceps, Recto Abdominal, Isquiotibiales, Latissimus Dorsi Trapecio",,Sagital,Posición con rodillas dobladas y espalda plana durante el ejercicio. Para iniciar el movimiento,https://www.youtube.com/watch?v=aiWaW-xT
Power Clean to Push Jerk,,Explosividad,,Barra,"Erector Isquiotibiales, Spinae, Deltoides Glúteos, anteriores Dbdeoltmoiindiss",", QTuriacderpicseps, Trapecio,",Sagital,"Latissim a una separación mayor que la anchura de los hombros, manos pronadas. Para entrar en la posición inicial posición, dobla un poco las rodillas",https://www.youtube.com/watch?v=M9rN-35nuyc
Las manos están Power Snatch,re-film,Explosividad,,Barra,"Erector Isquiotibiales, Spinae, Tríceps, Latissimus Cuádriceps Dorsi,rGicleuptess,Biceps,","Abdominales, Trapecio Rectus",Sagital,"Las rodillas y levanta el pecho para estar en una sentadilla parcial, una bisagra parcial posición. Para en Press Walk tiene las manos y los pies del cliente en el suelo con una flexión Press Walk",https://www.youtube.com/watch?v=1WB9lUaIFw0
Press Walk,re-film,Empujar,Peso corporal,Ninguno,"Deltoides anteriores, Tríceps Isquiotibiales,",Erectores espinales,Sagital,Con las piernas lo más rectas posible.,https://www.youtube.com/watch?v=1FpiUuTSv4I
Sentadilla de prisionero,hecho,Sentadilla,Peso corporal,Ninguno,"Cuádriceps, Abdominarios Glúteos, Recto Isquiotibiales, Gastrocnemio",", Erector Trapecio Spinae,",Sagital,Dobla las rodillas hacia adelante y hacia fuera y hunde las caderas hacia atrás y abajo para,https://www.youtube.com/watch?v=tKRBC7hzNoI
Marcha de la Muerte del Prisionero,hecho,DOBLARSE,Peso corporal,Ninguno,"Erector de la espina, isquiotibiales, glúteos Cuádriceps, Trapecio","Recto abdominal,",Sagital,"Pie, doble ligeramente ambas rodillas, luego inclínate hacia adelante moviendo las caderas hacia atrás,",https://www.youtube.com/watch?v=6pJrGAWYtKE
Trapecio,hecho,Una pierna,Peso corporal,Ninguno,"Cuádriceps, Glúteos Isquiotibiales, Abdominales",", Erector Tra de la espina, Recto abdominal",Sagital,"Dobla las dos rodillas. Luego, empuja a través del talón delantero para dar el paso",https://www.youtube.com/watch?v=G7Z7t1mVhn8
Sentadilla dividida del prisionero,hecho,Una pierna,Peso corporal,Ninguno,"Cuádriceps, Glúteos, Aductores Isquiotibiales, Abdominales",", Erector Tra de la espina, Recto abdominal",Sagital,"Con la cabeza y los codos expandiéndose. Para iniciar el movimiento, flexiona las rodillas",https://www.youtube.com/watch?v=OY5u2YlWGpQ
Subida del prisionero,hecho,Una pierna,Peso corporal,Caja pliométrica,"Cuádriceps, Glúteos, Flexores de cadera Isquiotibiales, Abdominales",", Erector Tra de la espina, Recto abdominal",Sagital,"Con la cabeza y los codos expandiéndose. Para iniciar el movimiento, impulsa hacia delante",https://www.youtube.com/watch?v=wc1-E-DVO8I
